codeP,Pseudo,email,ville,anneeI
P12,Jules,juju@hotmail.com,Paris,2014.0
P14,Fred,NULL,Paris,2008.0
P19,Christian,juju@hotmail.com,Paris,2013.0
P23,Germain,Gi67@gmail.com,Nantes,2011.0
P35,Serge,serge@gmail.com,Neuilly,2011.0
P37,Georges,gigi@hotmail.fr,Neuilly,2015.0
P44,Antoine,optic2000@hotmail.com,Marseille,2014.0
P61,Fernand,raynaud@yahoo.fr,Neuilly,2013.0
P74,Emile,L67@gmail.com,Nantes,2012.0
P75,Lucien,L67@gmail.com,Montreuil,2005.0
P89,Marcel,bozo@gmail.com,Lyon,2010.0
P92,Marcel,marcou@gmail.com,Nantes,2010.0
P99,Marcel,NULL,Paris,2010.0
